абонент A6OHEHT
ворона BOPOHA
ворота BOPOTA
восток BOCTOK
восход BOCXOD
вот BOT
врата BPATA
врач BPA4
вред BPED
вроде BPODE
всадник BCADHNK
все BCE
вскоре BCKOPE
встреча BCTPE4A
вто BTO
вторник BTOPHNK
втроем BTPOEM
вуз BY3
вход BXOD
вчера B4EPA
давид DABND
давно DABHO
дама DAMA
дар DAP
дарвин DAPBNH
даром DAPOM
дата DATA
датчик DAT4NK
дача DA4A
даша DAWA
два DBA
двести DBECTN
двое DBOE
двор DBOP
дворник DBOPHNK
дева DEBA
девиз DEBN3
девка DEBKA
девочка DEBO4KA
девушка DEBYWKA
дед DED
дедушка DEDYWKA
демон DEMOH
денис DEHNC
дерево DEPEBO
десант DECAHT
детишки DETNWKN
детство DETCTBO
дешево DEWEBO
диабет DNA6ET
диаметр DNAMETP
диана DNAHA
диван DNBAH
диета DNETA
дико DNKO
дима DNMA
димка DNMKA
динамо DNHAMO
диск DNCK
дискурс DNCKYPC
дневник DHEBHNK
днк DHK
дно DHO
добавка DO6ABKA
добро DO6PO
доброта DO6POTA
доверие DOBEPNE
довести DOBECTN
довод DOBOD
доза DO3A
дозор DO3OP
док DOK
доктор DOKTOP
дом DOM
дома DOMA
домен DOMEH
домик DOMNK
дон DOH
донести DOHECTN
доренко DOPEHKO
досада DOCADA
доска DOCKA
доход DOXOD
дочка DO4KA
драка DPAKA
дракон DPAKOH
драма DPAMA
дрова DPOBA
дуб DY6
дума DYMA
дура DYPA
дурак DYPAK
дух DYX
духи DYXN
духовно DYXOBHO
душ DYW
душа DYWA
ева EBA
евро EBPO
еда EDA
едва EDBA
езда E3DA
ерунда EPYHDA
есенин ECEHNH
забава 3A6ABA
забавно 3A6ABHO
забор 3A6OP
забота 3A6OTA
завести 3ABECTN
завет 3ABET
завод 3ABOD
завтра 3ABTPA
завтрак 3ABTPAK
зад 3AD
задание 3ADAHNE
задача 3ADA4A
заем 3AEM
заказ 3AKA3
закат 3AKAT
закон 3AKOH
закуска 3AKYCKA
зам 3AM
замена 3AMEHA
заметка 3AMETKA
заметно 3AMETHO
замок 3AMOK
занавес 3AHABEC
занести 3AHECTN
заново 3AHOBO
зао 3AO
заодно 3AODHO
зараза 3APA3A
заранее 3APAHEE
зарасти 3APACTN
засада 3ACADA
затем 3ATEM
зато 3ATO
затрата 3ATPATA
захаров 3AXAPOB
захват 3AXBAT
заход 3AXOD
зачем 3A4EM
зачет 3A4ET
звание 3BAHNE
звезда 3BE3DA
звено 3BEHO
звон 3BOH
звонок 3BOHOK
звук 3BYK
здание 3DAHNE
здорово 3DOPOBO
зенит 3EHNT
зерно 3EPHO
зима 3NMA
зина 3NHA
знак 3HAK
знание 3HAHNE
знаток 3HATOK
значит 3HA4NT
значок 3HA4OK
зов 3OB
зона 3OHA
зонтик 3OHTNK
зрачок 3PA4OK
зрение 3PEHNE
зуб 3Y6
ибо N6O
иван NBAH
иванов NBAHOB
идиот NDNOT
идти NDTN
изба N36A
извне N3BHE
изд N3D
издание N3DAHNE
измена N3MEHA
изнутри N3HYTPN
изо N3O
изредка N3PEDKA
иисус NNCYC
икона NKOHA
икра NKPA
имение NMEHNE
именно NMEHHO
имхо NMXO
иначе NHA4E
индекс NHDEKC
индивид NHDNBND
инет NHET
инна NHHA
интерес NHTEPEC
иоанн NOAHH
ира NPA
ирак NPAK
иран NPAH
ирина NPNHA
иркутск NPKYTCK
иск NCK
искра NCKPA
истина NCTNHA
истинно NCTNHHO
исток NCTOK
историк NCTOPNK
исход NCXOD
итак NTAK
иуда NYDA
кабина KA6NHA
кабинет KA6NHET
кавказ KABKA3
кадр KADP
казак KA3AK
казарма KA3APMA
казино KA3NHO
казна KA3HA
как KAK
каков KAKOB
камера KAMEPA
камин KAMNH
канада KAHADA
канон KAHOH
кант KAHT
кара KAPA
караван KAPABAH
карета KAPETA
карман KAPMAH
карта KAPTA
картина KAPTNHA
касса KACCA
кассета KACCETA
катер KATEP
катерин KATEPNH
катушка KATYWKA
каша KAWA
квадрат KBADPAT
квота KBOTA
киев KNEB
ким KNM
кино KNHO
киоск KNOCK
кира KNPA
кит KNT
кишка KNWKA
ковер KOBEP
коврик KOBPNK
код KOD
кодекс KODEKC
кое KOE
коза KO3A
ком KOM
команда KOMAHDA
комар KOMAP
комитет KOMNTET
комната KOMHATA
конверт KOHBEPT
конек KOHEK
конечно KOHE4HO
конкурс KOHKYPC
контакт KOHTAKT
контент KOHTEHT
контора KOHTOPA
контур KOHTYP
кончик KOH4NK
кончина KOH4NHA
кора KOPA
корзина KOP3NHA
коридор KOPNDOP
корм KOPM
корма KOPMA
коробка KOPO6KA
корова KOPOBA
корона KOPOHA
коротко KOPOTKO
коса KOCA
космос KOCMOC
костер KOCTEP
кот KOT
котенок KOTEHOK
кошка KOWKA
кошмар KOWMAP
кран KPAH
красиво KPACNBO
краска KPACKA
красота KPACOTA
кратко KPATKO
крах KPAX
кредит KPEDNT
крем KPEM
крест KPECT
кризис KPN3NC
крик KPNK
критик KPNTNK
критика KPNTNKA
кроме KPOME
крона KPOHA
крошка KPOWKA
круто KPYTO
кстати KCTATN
кто KTO
куба KY6A
кубик KY6NK
кубок KY6OK
кувшин KYBWNH
куда KYDA
кузов KY3OB
кумир KYMNP
курение KYPEHNE
курорт KYPOPT
курс KYPC
курсант KYPCAHT
куртка KYPTKA
кусок KYCOK
кусочек KYCO4EK
куст KYCT
куча KY4A
кучка KY4KA
мадам MADAM
мак MAK
макс MAKC
максим MAKCNM
мама MAMA
мамаша MAMAWA
мамин MAMNH
мамочка MAMO4KA
маневр MAHEBP
манер MAHEP
манера MAHEPA
мар MAP
марат MAPAT
мари MAPN
марина MAPNHA
марк MAPK
марка MAPKA
маркиз MAPKN3
маркс MAPKC
марс MAPC
март MAPT
марта MAPTA
мартин MAPTNH
марш MAPW
маршрут MAPWPYT
маска MACKA
масса MACCA
массив MACCNB
мастер MACTEP
масштаб MACWTA6
мат MAT
материк MATEPNK
матка MATKA
матрос MATPOC
матушка MATYWKA
матч MAT4
мах MAX
маша MAWA
машина MAWNHA
машинка MAWNHKA
мвд MBD
мед MED
медиа MEDNA
медик MEDNK
мексика MEKCNKA
менее MEHEE
мент MEHT
мера MEPA
мерка MEPKA
место MECTO
метод METOD
метр METP
метро METPO
мех MEX
механик MEXAHNK
меч ME4
мечта ME4TA
мешок MEWOK
мид MND
мимо MNMO
мина MNHA
мини MNHN
минимум MNHNMYM
министр MNHNCTP
минск MNHCK
минус MNHYC
минута MNHYTA
минутка MNHYTKA
мир MNP
мирно MNPHO
миронов MNPOHOB
миска MNCKA
мисс MNCC
миссис MNCCNC
мистер MNCTEP
миша MNWA
мишка MNWKA
мнение MHEHNE
мода MODA
модем MODEM
момент MOMEHT
монарх MOHAPX
монах MOHAX
монета MOHETA
монитор MOHNTOP
монстр MOHCTP
морда MOPDA
море MOPE
мороз MOPO3
морозов MOPO3OB
москва MOCKBA
москвич MOCKBN4
мост MOCT
мостик MOCTNK
мотив MOTNB
мотор MOTOP
мрак MPAK
мрачно MPA4HO
муза MY3A
мука MYKA
мундир MYHDNP
мусор MYCOP
муха MYXA
мучение MY4EHNE
набор HA6OP
навеки HABEKN
наверно HABEPHO
наверх HABEPX
наверху HABEPXY
навести HABECTN
над HAD
надзор HAD3OP
надо HADO
надобно HADO6HO
наедине HAEDNHE
назад HA3AD
намек HAMEK
намерен HAMEPEH
нанести HAHECTN
народ HAPOD
нарочно HAPO4HO
насчет HAC4ET
наташа HATAWA
наташка HATAWKA
нато HATO
натура HATYPA
наука HAYKA
наутро HAYTPO
научно HAY4HO
находка HAXODKA
наш HAW
ндс HDC
небо HE6O
нева HEBA
неверно HEBEPHO
невеста HEBECTA
недавно HEDABHO
недаром HEDAPOM
недра HEDPA
незачем HE3A4EM
некто HEKTO
некуда HEKYDA
нерв HEPB
нервно HEPBHO
нередко HEPEDKO
нести HECTN
нет HET
нету HETY
неудача HEYDA4A
нечто HE4TO
низ HN3
низко HN3KO
нии HNN
ник HNK
ника HNKA
никак HNKAK
никита HNKNTA
никитин HNKNTNH
никто HNKTO
никуда HNKYDA
нина HNHA
нитка HNTKA
ничто HN4TO
ниша HNWA
нквд HKBD
новинка HOBNHKA
новичок HOBN4OK
новое HOBOE
номер HOMEP
нора HOPA
норма HOPMA
нос HOC
носок HOCOK
нота HOTA
ноутбук HOYT6YK
нрав HPAB
нтв HTB
оао OAO
оба O6A
обвести O6BECTN
обед O6ED
обзор O63OP
обида O6NDA
обидно O6NDHO
обком O6KOM
обман O6MAH
обмен O6MEH
обморок O6MOPOK
обо O6O
обои O6ON
оборона O6OPOHA
оборот O6OPOT
обочина O6O4NHA
образ O6PA3
обратно O6PATHO
обрести O6PECTN
обход O6XOD
одесса ODECCA
один ODNH
одиноко ODNHOKO
однако ODHAKO
озеро O3EPO
океан OKEAH
окно OKHO
око OKO
окошко OKOWKO
окраина OKPANHA
окраска OKPACKA
оксана OKCAHA
окурок OKYPOK
омск OMCK
она OHA
они OHN
оно OHO
оон OOH
ооо OOO
оратор OPATOP
орбита OP6NTA
орден OPDEH
орех OPEX
оркестр OPKECTP
орудие OPYDNE
осада OCADA
оскар OCKAP
осмотр OCMOTP
основа OCHOBA
особа OCO6A
особо OCO6O
останки OCTAHKN
остаток OCTATOK
остро OCTPO
остров OCTPOB
острота OCTPOTA
отбор OT6OP
отвезти OTBE3TN
отвести OTBECTN
ответ OTBET
отдача OTDA4A
отказ OTKA3
откуда OTKYDA
отмена OTMEHA
отметка OTMETKA
отнести OTHECTN
ото OTO
отрезок OTPE3OK
отсек OTCEK
отсчет OTC4ET
оттенок OTTEHOK
отто OTTO
оттуда OTTYDA
отход OTXOD
отчасти OT4ACTN
отчет OT4ET
охота OXOTA
охотник OXOTHNK
охотно OXOTHO
охрана OXPAHA
очерк O4EPK
очистка O4NCTKA
очки O4KN
очко O4KO
ошибка OWN6KA
раб PA6
работа PA6OTA
рабство PA6CTBO
равнина PABHNHA
равно PABHO
рад PAD
ради PADN
радио PADNO
радиус PADNYC
раз PA3
разбор PA36OP
разве PA3BE
развод PA3BOD
размах PA3MAX
размер PA3MEP
разом PA3OM
разум PA3YM
раиса PANCA
рак PAK
ракета PAKETA
рама PAMA
рамка PAMKA
ран PAH
рана PAHA
ранее PAHEE
ранение PAHEHNE
рано PAHO
рао PAO
раса PACA
рассвет PACCBET
рассказ PACCKA3
раствор PACTBOP
расти PACTN
расход PACXOD
расчет PAC4ET
раунд PAYHD
реактор PEAKTOP
ребенок PE6EHOK
ребро PE6PO
рев PEB
редко PEDKO
реестр PEECTP
резерв PE3EPB
резко PE3KO
река PEKA
рекорд PEKOPD
ректор PEKTOP
ремонт PEMOHT
ресурс PECYPC
речка PE4KA
решение PEWEHNE
решетка PEWETKA
риа PNA
рим PNM
рис PNC
риск PNCK
рисунок PNCYHOK
рита PNTA
ритм PNTM
ричард PN4APD
роберт PO6EPT
робко PO6KO
робот PO6OT
ровно POBHO
род POD
роддом PODDOM
родина PODNHA
родство PODCTBO
роза PO3A
рок POK
роман POMAH
романов POMAHOB
рон POH
роса POCA
рост POCT
ростов POCTOB
рот POT
рота POTA
рубаха PY6AXA
рубашка PY6AWKA
рубка PY6KA
рубрика PY6PNKA
рука PYKA
рукав PYKAB
русско PYCCKO
ручка PY4KA
сад CAD
садик CADNK
сам CAM
самара CAMAPA
самка CAMKA
сан CAH
сани CAHN
санитар CAHNTAP
санкт CAHKT
сара CAPA
саратов CAPATOB
сатана CATAHA
сахар CAXAP
сахаров CAXAPOB
саша CAWA
сашка CAWKA
сбоку C6OKY
сбор C6OP
сборка C6OPKA
сборник C6OPHNK
сверх CBEPX
сверху CBEPXY
свести CBECTN
свет CBET
света CBETA
светка CBETKA
свеча CBE4A
свист CBNCT
свитер CBNTEP
свобода CBO6ODA
свод CBOD
сводка CBODKA
свое CBOE
сдача CDA4A
сеанс CEAHC
себе CE6E
север CEBEP
северо CEBEPO
сезон CE3OH
секрет CEKPET
секс CEKC
секта CEKTA
сектор CEKTOP
секунда CEKYHDA
семен CEMEH
семенов CEMEHOB
семинар CEMNHAP
сен CEH
сенат CEHAT
сенатор CEHATOP
сено CEHO
сент CEHT
сервер CEPBEP
сервис CEPBNC
сердито CEPDNTO
серебро CEPE6PO
сестра CECTPA
сетка CETKA
сзади C3ADN
сидение CNDEHNE
сие CNE
симонов CNMOHOB
синдром CNHDPOM
синоним CNHOHNM
синтез CNHTE3
сирена CNPEHA
сирота CNPOTA
система CNCTEMA
сказка CKA3KA
скачок CKA4OK
скидка CKNDKA
скобка CKO6KA
скорее CKOPEE
скоро CKOPO
скот CKOT
скотина CKOTNHA
скромно CKPOMHO
скука CKYKA
скучно CKY4HO
смена CMEHA
смех CMEX
смешно CMEWHO
сми CMN
смирнов CMNPHOB
смит CMNT
смутно CMYTHO
снести CHECTN
снизу CHN3Y
снимок CHNMOK
снова CHOBA
собака CO6AKA
собачка CO6A4KA
собор CO6OP
собрат CO6PAT
сова COBA
совет COBET
совсем COBCEM
совхоз COBXO3
сок COK
сон COH
сорок COPOK
сорокин COPOKNH
сорт COPT
сортир COPTNP
сосед COCED
соседка COCEDKA
сосна COCHA
сосок COCOK
состав COCTAB
сосуд COCYD
соус COYC
сразу CPA3Y
среда CPEDA
среди CPEDN
среднее CPEDHEE
срок CPOK
срочно CPO4HO
ссора CCOPA
ссср CCCP
ставка CTABKA
стадион CTADNOH
стадо CTADO
стакан CTAKAH
стан CTAH
станок CTAHOK
старик CTAPNK
старина CTAPNHA
старт CTAPT
старуха CTAPYXA
стас CTAC
статус CTATYC
стена CTEHA
стенд CTEHD
стенка CTEHKA
сти CTN
стив CTNB
стивен CTNBEH
стих CTNX
стихи CTNXN
сто CTO
стон CTOH
сторона CTOPOHA
стр CTP
страна CTPAHA
странно CTPAHHO
страх CTPAX
страшно CTPAWHO
стресс CTPECC
строка CTPOKA
строчка CTPO4KA
струна CTPYHA
студент CTYDEHT
стук CTYK
суббота CY66OTA
сувенир CYBEHNP
суворов CYBOPOB
суд CYD
судно CYDHO
суета CYETA
сука CYKA
сумерки CYMEPKN
сумка CYMKA
сумма CYMMA
сумочка CYMO4KA
сундук CYHDYK
сурово CYPOBO
сустав CYCTAB
сутки CYTKN
сухо CYXO
суша CYWA
схватка CXBATKA
схема CXEMA
счет C4ET
счетчик C4ET4NK
сша CWA
табак TA6AK
таз TA3
так TAK
таки TAKN
таков TAKOB
такси TAKCN
таксист TAKCNCT
такт TAKT
тактика TAKTNKA
там TAM
тамара TAMAPA
танк TAHK
таракан TAPAKAH
татарин TATAPNH
тачка TA4KA
твердо TBEPDO
театр TEATP
тезис TE3NC
текст TEKCT
тем TEM
тема TEMA
темно TEMHO
темнота TEMHOTA
теннис TEHHNC
теракт TEPAKT
термин TEPMNH
терраса TEPPACA
террор TEPPOP
тесно TECHO
тест TECT
тесто TECTO
тетка TETKA
тетушка TETYWKA
техник TEXHNK
техника TEXHNKA
течение TE4EHNE
тим TNM
тимур TNMYP
тихо TNXO
тишина TNWNHA
товар TOBAP
ток TOK
том TOM
томас TOMAC
тон TOH
тонко TOHKO
тонна TOHHA
тора TOPA
тормоз TOPMO3
торт TOPT
тоска TOCKA
тост TOCT
тот TOT
тотчас TOT4AC
точка TO4KA
точно TO4HO
тошнота TOWHOTA
трава TPABA
травка TPABKA
травма TPABMA
трактат TPAKTAT
трактор TPAKTOP
транс TPAHC
трасса TPACCA
тренер TPEHEP
треск TPECK
три TPN
трибуна TPN6YHA
триста TPNCTA
трое TPOE
трон TPOH
тротуар TPOTYAP
труба TPY6A
трубка TPY6KA
труд TPYD
трудно TPYDHO
туда TYDA
туман TYMAH
тур TYP
туризм TYPN3M
турист TYPNCT
турнир TYPHNP
турок TYPOK
тусовка TYCOBKA
тут TYT
туча TY4A
уборка Y6OPKA
увезти YBE3TN
увести YBECTN
удар YDAP
удача YDA4A
удачно YDA4HO
удобно YDO6HO
удочка YDO4KA
уезд YE3D
узи Y3N
узор Y3OP
указ YKA3
украина YKPANHA
умение YMEHNE
унести YHECTN
унитаз YHNTA3
ура YPA
уран YPAH
урод YPOD
урок YPOK
усмешка YCMEWKA
уста YCTA
устав YCTAB
утка YTKA
утрата YTPATA
утро YTPO
ухо YXO
уход YXOD
участие Y4ACTNE
участок Y4ACTOK
учеба Y4E6A
учебник Y4E6HNK
учение Y4EHNE
ученик Y4EHNK
учет Y4ET
хакер XAKEP
хан XAH
хаос XAOC
хата XATA
хвост XBOCT
хит XNT
ход XOD
хор XOP
хорошо XOPOWO
хохот XOXOT
храм XPAM
хребет XPE6ET
хрен XPEH
христов XPNCTOB
христос XPNCTOC
хроника XPOHNKA
хуан XYAH
час 4AC
часто 4ACTO
частота 4ACTOTA
чат 4AT
чаша 4AWA
чашка 4AWKA
чек 4EK
чем 4EM
чемодан 4EMODAH
чердак 4EPDAK
через 4EPE3
черт 4EPT
черта 4EPTA
чертов 4EPTOB
честно 4ECTHO
четверо 4ETBEPO
четко 4ETKO
чехов 4EXOB
чин 4NH
чистка 4NCTKA
чисто 4NCTO
чистота 4NCTOTA
чтение 4TEHNE
что 4TO
чтоб 4TO6
чувство 4YBCTBO
чудо 4YDO
чума 4YMA
шаман WAMAH
шанс WAHC
шар WAP
шарик WAPNK
шахта WAXTA
шашка WAWKA
швед WBED
шедевр WEDEBP
шина WNHA
ширина WNPNHA
широко WNPOKO
широта WNPOTA
шишка WNWKA
шкура WKYPA
шнур WHYP
шов WOB
шок WOK
шорох WOPOX
шоссе WOCCE
шоу WOY
шрам WPAM
штаб WTA6
штат WTAT
штора WTOPA
шторм WTOPM
штука WTYKA
штурм WTYPM
штурман WTYPMAH
штучка WTY4KA
шуба WY6A
шум WYM
шумно WYMHO
шура WYPA
шут WYT
шутка WYTKA
