авраам ABPAAM
трактор TPAKTOP
транс TPAHC
трасса TPACCA
тренер TPEHEP
треск TPECK
трое TPOE
трон TPOH
тротуар TPOTYAP
туман TYMAH
тур TYP
турок TYPOK
тусовка TYCOBKA
тут TYT
узор Y3OP
указ YKA3
ура YPA
уран YPAH
урок YPOK
уста YCTA
устав YCTAB
утка YTKA
утрата YTPATA
утро YTPO
ухо YXO
хакер XAKEP
хан XAH
хаос XAOC
хата XATA
хвост XBOCT
хор XOP
хохот XOXOT
храм XPAM
хрен XPEH
хуан XYAH
